"","date","wp1","wp2","wp3","wp4","wp5","wp6","wp7"
"33",2009-07-02 08:00:00,0,0.053,0,0,0,0,0
"34",2009-07-02 09:00:00,0.015,0.058,0.02,0,0,0,0
"35",2009-07-02 10:00:00,0.03,0.053,0.049,0,0,0,0
"36",2009-07-02 11:00:00,0.01,0.101,0.04,0,0,0,0
"37",2009-07-02 12:00:00,0,0.074,0.059,0,0,0,0
"38",2009-07-02 13:00:00,0,0.058,0.079,0,0,0,0
"39",2009-07-02 14:00:00,0,0.085,0.079,0,0,0,0
"40",2009-07-02 15:00:00,0,0.085,0.099,0,0,0.013,0
"41",2009-07-02 16:00:00,0.01,0.116,0.099,0.039,0,0.039,0
"42",2009-07-02 17:00:00,0.01,0.143,0.099,0.05,0,0.053,0.025
"43",2009-07-02 18:00:00,0.01,0.175,0.099,0.055,0.005,0.039,0
"44",2009-07-02 19:00:00,0.01,0.175,0.178,0.105,0,0.053,0.025
"45",2009-07-02 20:00:00,0.01,0.201,0.247,0.088,0,0.092,0.076
"46",2009-07-02 21:00:00,0.08,0.222,0.178,0.066,0,0.079,0.076
"47",2009-07-02 22:00:00,0.025,0.291,0.237,0.011,0,0.053,0
"48",2009-07-02 23:00:00,0.08,0.444,0.366,0,0.005,0.053,0
"49",2009-07-03 00:00:00,0.201,0.386,0.415,0,0,0.026,0
"50",2009-07-03 01:00:00,0.12,0.397,0.267,0,0.005,0.013,0
"51",2009-07-03 02:00:00,0.035,0.296,0.138,0,0.005,0,0
"52",2009-07-03 03:00:00,0.05,0.259,0.128,0,0.02,0,0
"53",2009-07-03 04:00:00,0.08,0.206,0.178,0,0.015,0.013,0
"54",2009-07-03 05:00:00,0.065,0.122,0.267,0.039,0.035,0.039,0
"55",2009-07-03 06:00:00,0.14,0.101,0.227,0.072,0.046,0.447,0.354
"56",2009-07-03 07:00:00,0.08,0.106,0.208,0.143,0.03,0.526,0.682
"57",2009-07-03 08:00:00,0.055,0.138,0.178,0.154,0.03,0.382,0.429
"58",2009-07-03 09:00:00,0.025,0.069,0.158,0.072,0.046,0.342,0.303
"59",2009-07-03 10:00:00,0.04,0.053,0.168,0.171,0.071,0.316,0.227
"60",2009-07-03 11:00:00,0.1,0.085,0.138,0.176,0.071,0.158,0.429
"61",2009-07-03 12:00:00,0.175,0.069,0.099,0.094,0.091,0.145,0.354
"62",2009-07-03 13:00:00,0.13,0.106,0.148,0.055,0.121,0.158,0.253
"63",2009-07-03 14:00:00,0.095,0.143,0.168,0.066,0.126,0.132,0.152
"64",2009-07-03 15:00:00,0.095,0.127,0.267,0.105,0.066,0.184,0.177
"65",2009-07-03 16:00:00,0.19,0.159,0.336,0.347,0.106,0.329,0.354
"66",2009-07-03 17:00:00,0.221,0.259,0.237,0.573,0.157,0.329,0.278
"67",2009-07-03 18:00:00,0.226,0.455,0.099,0.441,0.238,0.25,0.152
"68",2009-07-03 19:00:00,0.301,0.524,0.128,0.347,0.334,0.237,0.126
"69",2009-07-03 20:00:00,0.421,0.497,0.188,0.518,0.258,0.237,0.126
"70",2009-07-03 21:00:00,0.486,0.529,0.188,0.468,0.334,0.237,0.126
"71",2009-07-03 22:00:00,0.476,0.492,0.049,0.452,0.399,0.211,0.051
"72",2009-07-03 23:00:00,0.476,0.36,0.049,0.364,0.056,0.211,0.051
"73",2009-07-04 00:00:00,0.521,0.212,0.148,0.187,0.081,0.079,0.025
"74",2009-07-04 01:00:00,0.476,0.09,0.079,0.165,0.091,0.092,0
"75",2009-07-04 02:00:00,0.501,0.074,0.089,0.264,0.283,0.079,0
"76",2009-07-04 03:00:00,0.662,0.058,0.168,0.65,0.253,0.066,0
"77",2009-07-04 04:00:00,0.747,0.021,0.148,0.595,0.278,0.053,0
"78",2009-07-04 05:00:00,0.622,0.042,0.04,0.38,0.349,0.382,0.025
"79",2009-07-04 06:00:00,0.406,0.037,0.059,0.386,0.278,0.368,0.177
"80",2009-07-04 07:00:00,0.19,0.016,0.326,0.088,0.283,0.184,0.227
"81",2009-07-04 08:00:00,0.11,0,0.346,0.006,0.298,0.092,0.101
"82",2009-07-04 09:00:00,0.075,0,0.455,0.011,0.222,0.105,0.051
"83",2009-07-04 10:00:00,0.135,0,0.257,0.05,0.228,0.105,0.051
"84",2009-07-04 11:00:00,0.11,0,0.247,0.171,0.248,0.079,0.025
"85",2009-07-04 12:00:00,0.201,0.016,0.049,0.132,0.359,0.092,0.025
"86",2009-07-04 13:00:00,0.386,0.037,0,0.105,0.45,0.079,0.126
"87",2009-07-04 14:00:00,0.461,0.026,0,0.127,0.344,0.039,0.051
"88",2009-07-04 15:00:00,0.451,0.011,0.01,0.182,0.339,0.053,0.051
"89",2009-07-04 16:00:00,0.376,0.005,0.03,0.116,0.177,0.066,0.076
"90",2009-07-04 17:00:00,0.266,0.021,0.059,0.061,0.177,0.066,0.051
"91",2009-07-04 18:00:00,0.241,0.037,0.089,0.039,0.217,0.053,0.025
"92",2009-07-04 19:00:00,0.236,0.042,0.109,0.033,0.207,0.039,0
"93",2009-07-04 20:00:00,0.226,0.053,0.119,0.061,0.349,0.026,0
"94",2009-07-04 21:00:00,0.271,0.085,0.099,0.028,0.238,0.013,0
"95",2009-07-04 22:00:00,0.271,0.079,0.089,0.006,0.131,0.013,0
"96",2009-07-04 23:00:00,0.296,0.058,0.069,0.022,0.066,0.013,0
"97",2009-07-05 00:00:00,0.19,0.042,0.079,0.017,0.015,0,0
"98",2009-07-05 01:00:00,0.12,0.032,0.059,0.039,0.015,0,0
"99",2009-07-05 02:00:00,0.195,0.021,0.059,0.05,0.025,0,0
"100",2009-07-05 03:00:00,0.281,0.016,0.069,0.05,0.091,0,0
"101",2009-07-05 04:00:00,0.221,0.005,0.049,0.033,0.238,0,0
"102",2009-07-05 05:00:00,0.14,0.021,0,0.039,0.258,0,0
"103",2009-07-05 06:00:00,0.216,0.032,0,0.022,0.243,0.053,0
"104",2009-07-05 07:00:00,0.281,0.037,0,0.154,0.217,0.132,0.076
"105",2009-07-05 08:00:00,0.206,0.058,0,0.176,0.177,0.171,0.126
"106",2009-07-05 09:00:00,0.185,0.122,0,0.127,0.147,0.211,0.126
"107",2009-07-05 10:00:00,0.246,0.159,0,0.039,0.111,0.171,0.177
"108",2009-07-05 11:00:00,0.266,0.148,0,0.006,0.086,0.079,0.076
"109",2009-07-05 12:00:00,0.165,0.185,0,0,0.051,0.013,0
"110",2009-07-05 13:00:00,0.025,0.143,0,0,0.01,0,0
"111",2009-07-05 14:00:00,0.01,0.079,0,0,0,0,0
"112",2009-07-05 15:00:00,0,0.021,0,0,0.02,0,0
"113",2009-07-05 16:00:00,0.01,0.085,0.02,0,0.086,0,0
"114",2009-07-05 17:00:00,0.035,0.053,0.069,0,0.157,0,0
"115",2009-07-05 18:00:00,0.03,0.042,0.099,0.022,0.172,0.013,0
"116",2009-07-05 19:00:00,0.02,0.106,0.138,0.017,0.243,0.039,0
"117",2009-07-05 20:00:00,0.045,0.19,0.168,0.022,0.238,0.053,0
"118",2009-07-05 21:00:00,0.07,0.206,0.168,0,0.248,0.039,0
"119",2009-07-05 22:00:00,0.085,0.185,0.128,0.061,0.278,0.053,0
"120",2009-07-05 23:00:00,0.065,0.317,0.119,0.039,0.167,0.053,0.025
"121",2009-07-06 00:00:00,0.015,0.153,0.119,0.011,0.111,0.197,0.328
"122",2009-07-06 01:00:00,0.01,0.048,0.158,0.088,0.126,0.039,0.101
"123",2009-07-06 02:00:00,0.035,0.085,0.168,0.017,0.096,0.013,0
"124",2009-07-06 03:00:00,0.09,0.138,0.119,0.006,0.056,0.013,0
"125",2009-07-06 04:00:00,0.115,0.233,0.128,0.061,0.03,0.013,0
"126",2009-07-06 05:00:00,0.06,0.37,0.257,0.017,0.015,0.039,0
"127",2009-07-06 06:00:00,0.05,0.54,0.079,0,0.01,0.039,0
"128",2009-07-06 07:00:00,0.03,0.54,0.03,0,0.01,0.013,0
"129",2009-07-06 08:00:00,0,0.481,0.03,0,0.02,0,0
"130",2009-07-06 09:00:00,0,0.471,0.049,0,0,0.013,0
"131",2009-07-06 10:00:00,0.04,0.196,0.119,0,0.02,0.013,0
"132",2009-07-06 11:00:00,0.04,0.153,0.069,0,0.005,0.026,0
"133",2009-07-06 12:00:00,0.09,0.238,0.128,0,0.035,0,0
"134",2009-07-06 13:00:00,0.125,0.132,0.049,0,0.046,0,0
"135",2009-07-06 14:00:00,0.085,0.127,0.069,0.006,0.015,0,0
"136",2009-07-06 15:00:00,0.055,0.201,0.326,0,0.005,0,0
"137",2009-07-06 16:00:00,0.085,0.243,0.405,0,0.03,0.053,0.025
"138",2009-07-06 17:00:00,0.211,0.344,0.366,0.006,0.01,0.079,0.025
"139",2009-07-06 18:00:00,0.266,0.397,0.316,0.105,0.015,0.053,0.025
"140",2009-07-06 19:00:00,0.185,0.45,0.247,0.061,0.051,0.053,0.051
"141",2009-07-06 20:00:00,0.16,0.476,0.217,0.028,0.056,0.053,0.025
"142",2009-07-06 21:00:00,0.075,0.497,0.277,0.006,0.086,0.026,0
"143",2009-07-06 22:00:00,0.175,0.635,0.128,0.006,0.081,0.013,0
"144",2009-07-06 23:00:00,0.12,0.619,0.059,0.121,0.051,0.158,0
"145",2009-07-07 00:00:00,0.02,0.519,0.03,0.132,0.025,0.303,0.354
"146",2009-07-07 01:00:00,0.05,0.413,0,0,0.051,0.066,0.152
"147",2009-07-07 02:00:00,0.07,0.402,0.02,0,0.035,0.013,0
"148",2009-07-07 03:00:00,0.005,0.291,0.336,0.033,0.03,0.053,0
"149",2009-07-07 04:00:00,0,0.196,0.395,0.083,0.005,0.092,0.051
"150",2009-07-07 05:00:00,0.03,0.148,0.237,0,0.005,0.053,0.025
"151",2009-07-07 06:00:00,0.02,0.143,0.069,0.011,0,0,0
"152",2009-07-07 07:00:00,0.075,0.09,0,0.05,0,0,0
"153",2009-07-07 08:00:00,0.105,0.074,0.02,0.176,0,0.013,0
"154",2009-07-07 09:00:00,0.16,0.116,0.158,0.253,0,0.145,0.051
"155",2009-07-07 10:00:00,0.18,0.153,0.099,0.226,0,0.092,0.101
"156",2009-07-07 11:00:00,0.231,0.169,0.089,0.275,0,0.145,0.278
"157",2009-07-07 12:00:00,0.306,0.201,0.099,0.259,0.04,0.092,0.101
"158",2009-07-07 13:00:00,0.286,0.169,0.198,0.287,0.04,0.092,0.152
"159",2009-07-07 14:00:00,0.246,0.228,0.346,0.325,0.03,0.105,0.202
"160",2009-07-07 15:00:00,0.306,0.286,0.296,0.424,0,0.145,0.227
"161",2009-07-07 16:00:00,0.306,0.148,0.356,0.446,0.005,0.25,0.227
"162",2009-07-07 17:00:00,0.306,0.143,0.326,0.446,0.091,0.158,0.227
"163",2009-07-07 18:00:00,0.316,0.153,0.425,0.413,0.308,0.184,0.253
"164",2009-07-07 19:00:00,0.381,0.196,0.543,0.275,0.329,0.263,0.152
"165",2009-07-07 20:00:00,0.411,0.243,0.504,0.364,0.071,0.158,0.076
"166",2009-07-07 21:00:00,0.426,0.317,0.306,0.314,0.061,0.118,0.051
"167",2009-07-07 22:00:00,0.391,0.344,0.208,0.176,0.091,0.105,0.051
"168",2009-07-07 23:00:00,0.346,0.286,0.188,0.132,0.147,0.053,0.051
"169",2009-07-08 00:00:00,0.316,0.254,0.089,0.171,0.096,0.039,0
"170",2009-07-08 01:00:00,0.271,0.19,0.04,0.375,0.116,0.026,0
"171",2009-07-08 02:00:00,0.276,0.143,0.03,0.391,0.116,0.013,0
"172",2009-07-08 03:00:00,0.226,0.159,0.01,0.551,0.076,0.039,0
"173",2009-07-08 04:00:00,0.276,0.138,0,0.749,0.061,0.066,0.025
"174",2009-07-08 05:00:00,0.216,0.069,0,0.452,0.086,0.118,0.152
"175",2009-07-08 06:00:00,0.145,0.063,0,0.171,0.066,0.355,0.177
"176",2009-07-08 07:00:00,0.1,0.058,0.04,0.033,0.061,0.224,0.253
"177",2009-07-08 08:00:00,0.07,0.063,0.079,0.006,0.04,0.079,0.152
"178",2009-07-08 09:00:00,0.06,0.101,0.049,0,0.051,0.026,0.025
"179",2009-07-08 10:00:00,0.06,0.053,0.04,0,0.035,0,0
"180",2009-07-08 11:00:00,0.045,0.042,0.089,0,0.025,0,0
"181",2009-07-08 12:00:00,0.045,0.048,0.079,0,0.01,0,0
"182",2009-07-08 13:00:00,0.085,0.042,0.01,0,0,0,0
"183",2009-07-08 14:00:00,0.085,0.026,0,0,0,0,0
"184",2009-07-08 15:00:00,0.08,0.011,0,0,0,0.013,0
"185",2009-07-08 16:00:00,0.095,0.005,0,0,0,0,0
"186",2009-07-08 17:00:00,0.05,0.021,0,0,0.02,0.013,0
"187",2009-07-08 18:00:00,0.035,0.042,0.02,0,0.015,0.053,0.025
"188",2009-07-08 19:00:00,0.055,0.037,0.04,0,0.025,0.053,0.025
"189",2009-07-08 20:00:00,0.04,0.032,0.059,0.039,0.025,0.066,0.051
"190",2009-07-08 21:00:00,0.035,0.005,0.03,0.033,0.01,0.066,0.025
"191",2009-07-08 22:00:00,0.02,0.069,0.02,0.006,0,0.079,0.025
"192",2009-07-08 23:00:00,0.025,0.101,0.02,0,0,0.053,0.025
"193",2009-07-09 00:00:00,0.06,0.116,0,0.006,0,0.039,0
"194",2009-07-09 01:00:00,0.03,0.101,0,0,0,0.053,0.025
"195",2009-07-09 02:00:00,0.045,0.042,0,0,0,0.066,0.025
"196",2009-07-09 03:00:00,0.065,0.005,0,0.033,0,0.053,0.025
"197",2009-07-09 04:00:00,0.075,0,0,0.017,0.005,0.039,0.025
"198",2009-07-09 05:00:00,0.135,0,0,0,0.035,0.066,0.076
"199",2009-07-09 06:00:00,0.185,0,0,0,0.04,0.053,0.177
"200",2009-07-09 07:00:00,0.075,0,0,0,0.01,0.079,0.227
"201",2009-07-09 08:00:00,0.005,0,0,0,0,0.118,0.202
"202",2009-07-09 09:00:00,0,0,0.01,0,0,0.105,0.177
"203",2009-07-09 10:00:00,0,0,0.01,0.006,0,0.105,0.303
"204",2009-07-09 11:00:00,0.03,0,0.01,0,0.02,0.132,0.253
"205",2009-07-09 12:00:00,0.03,0.005,0.01,0.011,0.01,0.092,0.126
"206",2009-07-09 13:00:00,0,0,0,0.006,0.02,0.013,0.025
"207",2009-07-09 14:00:00,0,0,0.01,0,0.046,0,0
"208",2009-07-09 15:00:00,0,0.011,0.02,0,0.071,0,0
"209",2009-07-09 16:00:00,0,0.011,0.04,0,0.086,0,0
"210",2009-07-09 17:00:00,0,0.005,0.079,0.006,0.071,0.013,0
"211",2009-07-09 18:00:00,0.015,0.037,0.119,0.044,0.071,0.053,0
"212",2009-07-09 19:00:00,0.005,0.106,0.148,0.061,0.071,0.066,0
"213",2009-07-09 20:00:00,0.025,0.185,0.168,0.011,0.056,0.039,0
"214",2009-07-09 21:00:00,0.095,0.302,0.188,0.011,0.035,0.026,0
"215",2009-07-09 22:00:00,0.085,0.429,0.188,0,0.015,0.026,0
"216",2009-07-09 23:00:00,0.13,0.46,0.168,0,0.005,0.026,0
"217",2009-07-10 00:00:00,0.12,0.413,0.158,0,0,0.013,0
"218",2009-07-10 01:00:00,0.095,0.487,0.188,0,0,0,0
"219",2009-07-10 02:00:00,0.095,0.492,0.227,0,0,0.013,0
"220",2009-07-10 03:00:00,0.1,0.545,0.188,0.055,0,0.092,0.177
"221",2009-07-10 04:00:00,0.16,0.577,0.128,0.325,0,0.25,0.328
"222",2009-07-10 05:00:00,0.19,0.577,0.119,0.347,0,0.355,0.328
"223",2009-07-10 06:00:00,0.165,0.571,0.128,0.419,0,0.329,0.328
"224",2009-07-10 07:00:00,0.105,0.556,0.138,0.375,0,0.355,0.429
"225",2009-07-10 08:00:00,0.09,0.534,0.128,0.457,0,0.382,0.379
"226",2009-07-10 09:00:00,0.1,0.656,0.079,0.43,0,0.276,0.328
"227",2009-07-10 10:00:00,0.095,0.683,0.119,0.331,0,0.25,0.303
"228",2009-07-10 11:00:00,0.11,0.608,0.099,0.347,0,0.224,0.328
"229",2009-07-10 12:00:00,0.11,0.455,0.04,0.231,0.005,0.105,0.152
"230",2009-07-10 13:00:00,0.005,0.471,0.01,0.033,0.03,0.039,0.051
"231",2009-07-10 14:00:00,0,0.651,0.04,0.006,0.056,0.039,0
"232",2009-07-10 15:00:00,0.04,0.571,0.04,0.033,0.051,0.092,0.025
"233",2009-07-10 16:00:00,0.165,0.429,0.03,0.116,0.02,0.132,0.101
"234",2009-07-10 17:00:00,0.266,0.46,0.04,0.231,0.025,0.145,0.152
"235",2009-07-10 18:00:00,0.326,0.529,0.04,0.38,0.046,0.289,0.253
"236",2009-07-10 19:00:00,0.351,0.397,0.03,0.452,0.061,0.487,0.328
"237",2009-07-10 20:00:00,0.361,0.476,0.03,0.523,0.056,0.382,0.278
"238",2009-07-10 21:00:00,0.311,0.265,0.01,0.617,0.066,0.289,0.202
"239",2009-07-10 22:00:00,0.306,0.164,0.02,0.595,0.025,0.289,0.202
"240",2009-07-10 23:00:00,0.291,0.138,0.049,0.468,0,0.303,0.177
"241",2009-07-11 00:00:00,0.281,0.063,0.128,0.408,0.005,0.263,0.152
"242",2009-07-11 01:00:00,0.236,0.048,0.217,0.358,0.066,0.263,0.227
"243",2009-07-11 02:00:00,0.366,0.063,0.247,0.441,0.228,0.342,0.354
"244",2009-07-11 03:00:00,0.381,0.053,0.257,0.507,0.374,0.421,0.379
"245",2009-07-11 04:00:00,0.421,0.079,0.366,0.584,0.475,0.447,0.429
"246",2009-07-11 05:00:00,0.481,0.069,0.464,0.623,0.536,0.5,0.48
"247",2009-07-11 06:00:00,0.451,0.063,0.791,0.705,0.465,0.513,0.581
"248",2009-07-11 07:00:00,0.466,0.037,0.711,0.744,0.354,0.513,0.556
"249",2009-07-11 08:00:00,0.476,0.09,0.484,0.716,0.308,0.566,0.606
"250",2009-07-11 09:00:00,0.501,0.275,0.415,0.556,0.334,0.395,0.379
"251",2009-07-11 10:00:00,0.421,0.36,0.346,0.325,0.339,0.25,0.177
"252",2009-07-11 11:00:00,0.251,0.185,0.395,0.176,0.329,0.197,0.177
"253",2009-07-11 12:00:00,0.19,0.116,0.395,0.006,0.374,0.026,0.152
"254",2009-07-11 13:00:00,0.226,0.069,0.178,0.017,0.465,0.066,0.025
"255",2009-07-11 14:00:00,0.18,0.09,0.099,0.039,0.485,0.092,0.101
"256",2009-07-11 15:00:00,0.065,0.212,0,0.143,0.531,0.118,0.051
"257",2009-07-11 16:00:00,0.115,0.254,0.089,0.347,0.455,0.145,0.101
"258",2009-07-11 17:00:00,0.306,0.45,0.543,0.479,0.46,0.25,0.152
"259",2009-07-11 18:00:00,0.471,0.55,0.455,0.364,0.394,0.224,0.051
"260",2009-07-11 19:00:00,0.596,0.608,0.613,0.198,0.44,0.158,0.025
"261",2009-07-11 20:00:00,0.657,0.688,0.346,0.149,0.319,0.118,0.051
"262",2009-07-11 21:00:00,0.586,0.72,0.464,0.314,0.384,0.197,0.025
"263",2009-07-11 22:00:00,0.576,0.746,0.494,0.584,0.349,0.618,0.455
"264",2009-07-11 23:00:00,0.627,0.714,0.514,0.672,0.253,0.737,0.758
"265",2009-07-12 00:00:00,0.546,0.741,0.445,0.496,0.182,0.592,0.606
"266",2009-07-12 01:00:00,0.521,0.735,0.445,0.556,0.076,0.342,0.429
"267",2009-07-12 02:00:00,0.351,0.63,0.583,0.854,0.076,0.368,0.227
"268",2009-07-12 03:00:00,0.536,0.54,0.623,0.887,0.116,0.434,0.227
"269",2009-07-12 04:00:00,0.617,0.418,0.553,0.733,0.228,0.408,0.126
"270",2009-07-12 05:00:00,0.566,0.307,0.168,0.601,0.157,0.382,0.126
"271",2009-07-12 06:00:00,0.411,0.148,0.059,0.551,0.126,0.263,0.076
"272",2009-07-12 07:00:00,0.291,0.063,0.03,0.231,0.106,0.224,0
"273",2009-07-12 08:00:00,0.291,0.058,0,0.072,0.121,0.105,0
"274",2009-07-12 09:00:00,0.391,0.069,0.049,0.017,0.137,0,0
"275",2009-07-12 10:00:00,0.446,0.053,0.099,0.039,0.076,0,0
"276",2009-07-12 11:00:00,0.496,0.037,0.049,0.088,0.046,0.066,0.025
"277",2009-07-12 12:00:00,0.276,0.026,0.02,0.22,0.025,0.105,0.051
"278",2009-07-12 13:00:00,0.075,0.005,0,0.209,0.04,0.145,0.076
"279",2009-07-12 14:00:00,0.18,0,0,0.281,0.025,0.211,0.202
"280",2009-07-12 15:00:00,0.211,0.005,0.01,0.331,0.005,0.329,0.328
"281",2009-07-12 16:00:00,0.296,0.005,0.02,0.402,0.056,0.316,0.278
"282",2009-07-12 17:00:00,0.291,0.005,0.02,0.358,0.142,0.263,0.177
"283",2009-07-12 18:00:00,0.296,0.053,0.059,0.364,0.263,0.197,0.126
"284",2009-07-12 19:00:00,0.376,0.069,0.069,0.309,0.349,0.092,0.025
"285",2009-07-12 20:00:00,0.401,0.122,0.04,0.143,0.465,0.053,0
"286",2009-07-12 21:00:00,0.371,0.153,0.04,0.055,0.501,0.039,0
"287",2009-07-12 22:00:00,0.286,0.291,0.01,0.044,0.475,0.026,0
"288",2009-07-12 23:00:00,0.175,0.349,0.128,0.083,0.46,0.026,0
"289",2009-07-13 00:00:00,0.105,0.344,0.198,0.011,0.389,0.079,0
"290",2009-07-13 01:00:00,0.07,0.344,0.198,0.011,0.222,0.066,0.076
"291",2009-07-13 02:00:00,0.135,0.349,0.198,0.017,0.248,0.066,0.126
"292",2009-07-13 03:00:00,0.165,0.296,0.119,0.05,0.228,0.039,0.076
"293",2009-07-13 04:00:00,0.236,0.132,0.119,0.072,0.142,0.053,0.051
"294",2009-07-13 05:00:00,0.306,0.175,0.435,0.088,0.121,0.053,0.051
"295",2009-07-13 06:00:00,0.336,0.116,0.484,0.099,0.116,0.053,0
"296",2009-07-13 07:00:00,0.296,0.116,0.287,0.055,0.066,0.039,0
"297",2009-07-13 08:00:00,0.236,0.069,0.198,0.05,0.056,0.026,0
"298",2009-07-13 09:00:00,0.201,0.069,0.148,0.105,0.081,0.053,0
"299",2009-07-13 10:00:00,0.291,0.058,0.069,0.16,0.131,0.105,0.025
"300",2009-07-13 11:00:00,0.321,0.063,0.059,0.242,0.152,0.158,0.051
"301",2009-07-13 12:00:00,0.291,0.074,0.01,0.309,0.258,0.211,0.101
"302",2009-07-13 13:00:00,0.326,0.111,0,0.402,0.283,0.303,0.202
"303",2009-07-13 14:00:00,0.486,0.116,0,0.309,0.217,0.434,0.303
"304",2009-07-13 15:00:00,0.451,0.058,0,0.298,0.212,0.329,0.404
"305",2009-07-13 16:00:00,0.576,0.058,0.02,0.275,0.177,0.342,0.379
"306",2009-07-13 17:00:00,0.667,0.143,0.079,0.237,0.167,0.197,0.253
"307",2009-07-13 18:00:00,0.712,0.577,0.128,0.226,0.187,0.171,0.152
"308",2009-07-13 19:00:00,0.787,0.725,0.208,0.198,0.308,0.105,0.126
"309",2009-07-13 20:00:00,0.827,0.815,0.227,0.099,0.177,0.039,0
"310",2009-07-13 21:00:00,0.847,0.772,0.148,0.061,0.101,0.026,0
"311",2009-07-13 22:00:00,0.672,0.561,0.138,0.044,0.243,0.013,0
"312",2009-07-13 23:00:00,0.511,0.249,0.109,0.044,0.501,0.066,0
"313",2009-07-14 00:00:00,0.331,0.111,0.04,0,0.42,0.053,0
"314",2009-07-14 01:00:00,0.18,0.085,0.03,0.132,0.298,0,0
"315",2009-07-14 02:00:00,0.221,0.048,0.079,0.298,0.404,0.026,0
"316",2009-07-14 03:00:00,0.281,0.063,0.109,0.16,0.182,0.039,0.126
"317",2009-07-14 04:00:00,0.371,0.058,0.198,0.226,0.051,0.092,0.051
"318",2009-07-14 05:00:00,0.476,0.106,0.504,0.226,0.015,0.132,0.101
"319",2009-07-14 06:00:00,0.416,0.106,0.573,0.182,0.005,0.158,0.051
"320",2009-07-14 07:00:00,0.401,0.079,0.366,0.083,0.02,0.145,0.076
"321",2009-07-14 08:00:00,0.286,0.058,0.227,0.039,0.081,0.211,0.328
"322",2009-07-14 09:00:00,0.221,0.021,0.109,0.011,0.222,0.158,0.227
"323",2009-07-14 10:00:00,0.19,0.026,0.128,0,0.217,0.066,0.101
"324",2009-07-14 11:00:00,0.316,0.032,0.227,0,0.152,0,0.025
"325",2009-07-14 12:00:00,0.211,0.021,0.079,0,0.111,0,0
"326",2009-07-14 13:00:00,0.17,0,0.04,0,0.061,0,0
"327",2009-07-14 14:00:00,0.185,0,0,0,0.101,0,0
"328",2009-07-14 15:00:00,0.18,0,0,0,0.081,0,0
"329",2009-07-14 16:00:00,0.175,0,0.01,0,0.04,0.026,0
"330",2009-07-14 17:00:00,0.211,0,0.01,0.061,0.061,0.053,0.025
"331",2009-07-14 18:00:00,0.276,0,0.049,0.055,0.182,0.026,0
"332",2009-07-14 19:00:00,0.246,0.016,0.099,0.099,0.162,0.079,0
"333",2009-07-14 20:00:00,0.231,0.005,0.128,0.138,0.076,0.079,0
"334",2009-07-14 21:00:00,0.236,0.016,0.208,0.138,0.02,0.066,0
"335",2009-07-14 22:00:00,0.231,0.011,0.119,0.028,0.025,0.013,0
"336",2009-07-14 23:00:00,0.211,0,0.138,0,0.106,0,0
"337",2009-07-15 00:00:00,0.145,0,0.099,0,0.394,0,0
"338",2009-07-15 01:00:00,0.075,0,0.059,0,0.43,0,0
"339",2009-07-15 02:00:00,0.065,0,0.049,0,0.399,0,0
